ticker,commodity,date,open,high,low,close,volume
ZC=F,Corn,17-07-2000,182.25,182.25,178.25,179.25,19385
ZC=F,Corn,18-07-2000,179,183.25,179,180.75,25205
ZC=F,Corn,19-07-2000,180,182.75,178.75,182,17126
ZC=F,Corn,20-07-2000,181.5,187,181,186,18742
ZC=F,Corn,21-07-2000,185.5,188,185,187.75,16814
ZC=F,Corn,24-07-2000,187.75,189.5,183.75,184.5,14615
ZC=F,Corn,25-07-2000,183.75,184.5,181.5,182.75,13883
ZC=F,Corn,26-07-2000,182.5,183.25,179.25,180.5,14762
ZC=F,Corn,27-07-2000,180.5,183,180,181,12353
ZC=F,Corn,28-07-2000,181,182.5,180,180.25,12850
ZC=F,Corn,31-07-2000,178.25,182,177,180.25,19481
ZC=F,Corn,01-08-2000,180.25,181.5,179,179.75,16626
ZC=F,Corn,02-08-2000,179.75,182,179.5,180.5,15230
ZC=F,Corn,03-08-2000,180.25,182.25,178.5,180,15137
ZC=F,Corn,04-08-2000,179.5,180.5,178.5,178.75,12389
ZC=F,Corn,07-08-2000,178.75,180,177.5,177.75,12616
ZC=F,Corn,08-08-2000,178,179.75,177.5,179.5,15584
ZC=F,Corn,09-08-2000,179,179.25,177.75,178.25,21466
ZC=F,Corn,10-08-2000,178,179.5,177,177.25,17658
ZC=F,Corn,11-08-2000,177,177.5,174,174.75,18551
ZC=F,Corn,14-08-2000,174.5,176.25,174,175.75,14873
ZC=F,Corn,15-08-2000,175.75,176.25,174.75,175.75,8128
ZC=F,Corn,16-08-2000,175.5,179.25,175.5,178.5,20428
ZC=F,Corn,17-08-2000,178.5,180.5,177.75,178.5,18718
ZC=F,Corn,18-08-2000,178.25,178.75,177,177.5,21695
ZC=F,Corn,21-08-2000,177.25,177.25,175.5,176.25,15683
ZC=F,Corn,22-08-2000,176.25,177.5,175.25,175.5,18264
ZC=F,Corn,23-08-2000,175,175.75,174.5,175.25,20807
ZC=F,Corn,24-08-2000,175.25,176.75,174.5,176,20764
ZC=F,Corn,25-08-2000,175.75,178.25,175.75,176.5,21622
ZC=F,Corn,28-08-2000,180.25,181.5,178,179.5,20965
ZC=F,Corn,29-08-2000,181,185,181,184.25,39334
ZC=F,Corn,30-08-2000,183.25,184.75,181.25,181.5,117
ZC=F,Corn,31-08-2000,180.75,182,180.75,182,32
ZC=F,Corn,01-09-2000,182.75,183.25,182.75,183.25,45
ZC=F,Corn,05-09-2000,184,186,183.5,183.5,2
ZC=F,Corn,06-09-2000,186.25,186.25,185.5,186.25,3
ZC=F,Corn,07-09-2000,181.5,181.5,181,181,3
ZC=F,Corn,08-09-2000,181.5,181.5,181,181.75,3
ZC=F,Corn,11-09-2000,181.5,181.5,181,184.25,19
ZC=F,Corn,12-09-2000,189.75,189.75,186,186,19
ZC=F,Corn,13-09-2000,189.75,189.75,186,182.5,1
ZC=F,Corn,14-09-2000,181,181,181,181,5
ZC=F,Corn,18-09-2000,188,188,187.75,184,6
ZC=F,Corn,19-09-2000,185,185,185,185,6
ZC=F,Corn,20-09-2000,185,185,185,183.5,6
ZC=F,Corn,21-09-2000,185,185,185,183.75,6
ZC=F,Corn,22-09-2000,185,185,185,186.25,6
ZC=F,Corn,25-09-2000,185,185,185,186.25,3
ZC=F,Corn,26-09-2000,190,190,190,190,3
ZC=F,Corn,27-09-2000,190,190,190,190.5,3
ZC=F,Corn,28-09-2000,190,190,190,190.5,3
ZC=F,Corn,29-09-2000,190,190,190,192,3
ZC=F,Corn,02-10-2000,190,190,190,192,3
ZC=F,Corn,03-10-2000,190,190,190,195.25,3
ZC=F,Corn,04-10-2000,190,190,190,199.5,3
ZC=F,Corn,05-10-2000,190,190,190,200.5,3
ZC=F,Corn,06-10-2000,190,190,190,199.5,3
ZC=F,Corn,09-10-2000,190,190,190,199.5,3
ZC=F,Corn,10-10-2000,190,190,190,197.5,3
ZC=F,Corn,11-10-2000,190,190,190,199.75,3
ZC=F,Corn,12-10-2000,190,190,190,200.5,3
ZC=F,Corn,13-10-2000,190,190,190,204,3
ZC=F,Corn,16-10-2000,190,190,190,204,2
ZC=F,Corn,17-10-2000,203.25,203.25,203.25,203.25,2
ZC=F,Corn,18-10-2000,203.25,203.25,203.25,202,2
ZC=F,Corn,19-10-2000,203.25,203.25,203.25,203,10
ZC=F,Corn,23-10-2000,200.75,200.75,200.75,200.75,10
ZC=F,Corn,25-10-2000,200.75,200.75,200.75,199.5,10
ZC=F,Corn,26-10-2000,200.75,200.75,200.75,198,10
ZC=F,Corn,27-10-2000,200.75,200.75,200.75,196.25,1
ZC=F,Corn,30-10-2000,196,196,196,196,1
ZC=F,Corn,02-11-2000,196,196,196,202.25,1
ZC=F,Corn,06-11-2000,196,196,196,209.5,1
ZC=F,Corn,07-11-2000,196,196,196,211.25,1
ZC=F,Corn,08-11-2000,196,196,196,213.5,1
ZC=F,Corn,09-11-2000,196,196,196,211.25,1
ZC=F,Corn,13-11-2000,196,196,196,208.75,1
ZC=F,Corn,14-11-2000,196,196,196,208,313
ZC=F,Corn,15-11-2000,208.75,209,208.5,208.5,357
ZC=F,Corn,16-11-2000,207.5,208.25,207.25,208.25,637
ZC=F,Corn,17-11-2000,208.5,210.5,208.5,209.25,475
ZC=F,Corn,20-11-2000,211,212.25,210.5,212.25,593
ZC=F,Corn,21-11-2000,210.5,211,210.25,210.25,289
ZC=F,Corn,22-11-2000,210.5,210.75,210.5,210.25,396
ZC=F,Corn,24-11-2000,211,211,210.5,210.75,357
ZC=F,Corn,27-11-2000,211.25,212.5,210.75,212.5,139
ZC=F,Corn,28-11-2000,210.5,210.5,209.75,209.75,218
ZC=F,Corn,29-11-2000,207.75,207.75,207,207.5,65
ZC=F,Corn,30-11-2000,205,206,205,205,6
ZC=F,Corn,01-12-2000,208.25,209,208.25,209,1
ZC=F,Corn,04-12-2000,210,210,210,210,3
ZC=F,Corn,18-12-2000,211.5,211.5,211.5,215.5,1
ZC=F,Corn,21-12-2000,218,218,218,218,773
ZC=F,Corn,26-12-2000,220.25,220.5,219.5,220,501
ZC=F,Corn,27-12-2000,218,220.5,217,220.25,23
ZC=F,Corn,28-12-2000,221,221,221,221,23
ZC=F,Corn,29-12-2000,221,221,221,222.5,23
ZC=F,Corn,02-01-2001,221,221,221,222.5,1466
ZC=F,Corn,16-01-2001,219,219,217.5,218.5,957
ZC=F,Corn,17-01-2001,216,217,215.5,216.25,519
ZC=F,Corn,18-01-2001,217.5,219,217.5,218.75,940
ZC=F,Corn,19-01-2001,218.25,219.5,218,218.5,519
ZC=F,Corn,22-01-2001,215,215,214.5,214.5,940
ZC=F,Corn,23-01-2001,215.75,216.75,215.5,216.5,134
ZC=F,Corn,24-01-2001,214,215,214,214.25,270
ZC=F,Corn,25-01-2001,215,215.5,214,214.5,217
ZC=F,Corn,26-01-2001,213.5,214,213,214,270
ZC=F,Corn,29-01-2001,209.5,210,208.75,208.75,481
ZC=F,Corn,30-01-2001,208.25,209.5,208.25,208.75,640
ZC=F,Corn,31-01-2001,209.25,209.75,208.5,208.5,263
ZC=F,Corn,01-02-2001,209,209.25,208.5,208.5,304
ZC=F,Corn,02-02-2001,211,211.75,211,211.5,146
ZC=F,Corn,05-02-2001,213,213.5,212.75,213,126
ZC=F,Corn,06-02-2001,211.75,212,211.5,211.5,266
ZC=F,Corn,07-02-2001,213.5,214,213,214,398
ZC=F,Corn,08-02-2001,212,212,211.25,211.25,266
ZC=F,Corn,09-02-2001,210,210.25,209.5,210.25,154
ZC=F,Corn,12-02-2001,210,210.5,209.75,209.75,441
ZC=F,Corn,14-02-2001,209.75,211,209.75,210.25,445
ZC=F,Corn,15-02-2001,212.5,214,212.5,213.5,179
ZC=F,Corn,16-02-2001,212,213,211.75,213,196
ZC=F,Corn,20-02-2001,212,213.25,211.75,212.5,341
ZC=F,Corn,21-02-2001,212.25,213,212,212,243
ZC=F,Corn,22-02-2001,210.5,210.75,210,210,283
ZC=F,Corn,26-02-2001,209,210,209,209.75,42
ZC=F,Corn,27-02-2001,209.25,209.5,209.25,209.5,212
ZC=F,Corn,28-02-2001,210.5,211.5,210.5,211.25,43
ZC=F,Corn,01-03-2001,214,214.5,214,214.5,46
ZC=F,Corn,02-03-2001,216.5,217,216.25,217,15
ZC=F,Corn,05-03-2001,216,216,216,215.5,7
ZC=F,Corn,07-03-2001,216,216.5,215.75,215.75,7
ZC=F,Corn,08-03-2001,216,216,215.75,213.25,2
ZC=F,Corn,09-03-2001,213.5,213.5,213.5,213.5,7
ZC=F,Corn,12-03-2001,213.5,213.5,213,213.5,5
ZC=F,Corn,13-03-2001,215.5,215.5,215.5,215.5,4
ZC=F,Corn,14-03-2001,214,214,214,211.5,993
ZC=F,Corn,15-03-2001,217.5,217.75,216,216,594
ZC=F,Corn,16-03-2001,211,213,211,211.5,569
ZC=F,Corn,19-03-2001,208,209.5,208,208.75,117
ZC=F,Corn,20-03-2001,209,209.75,209,209.75,314
ZC=F,Corn,21-03-2001,212,212,211.75,211.75,238
ZC=F,Corn,22-03-2001,210,210,208.5,208.5,706
ZC=F,Corn,23-03-2001,205.75,206.25,204.75,206,673
ZC=F,Corn,26-03-2001,208.5,209,207.5,208.5,178
ZC=F,Corn,27-03-2001,209.75,210.25,209.75,210.25,141
ZC=F,Corn,28-03-2001,210.75,210.75,210,210.5,374
ZC=F,Corn,29-03-2001,209.25,210,209,209.5,269
ZC=F,Corn,30-03-2001,207.25,207.25,206,206.5,321
ZC=F,Corn,02-04-2001,208,209.75,208,209.25,405
ZC=F,Corn,04-04-2001,209,210.25,208.25,210.25,449
ZC=F,Corn,05-04-2001,211.5,212.75,211.5,212.75,545
ZC=F,Corn,06-04-2001,212,214,212,213.75,193
ZC=F,Corn,09-04-2001,210.25,212.5,210.25,212.25,355
ZC=F,Corn,10-04-2001,211.25,211.75,211,211,375
ZC=F,Corn,11-04-2001,209.25,209.5,208.75,209.25,574
ZC=F,Corn,12-04-2001,210.5,210.75,210,210.5,496
ZC=F,Corn,16-04-2001,212.5,214,212.5,213.5,265
ZC=F,Corn,17-04-2001,212,213,211.75,212.75,176
ZC=F,Corn,18-04-2001,209.25,209.75,209.25,209.75,609
ZC=F,Corn,19-04-2001,209,209.75,209,209,332
ZC=F,Corn,20-04-2001,204.5,205.5,204.25,204.25,578
ZC=F,Corn,23-04-2001,202.25,203.25,201.5,201.5,67
ZC=F,Corn,24-04-2001,196.75,198,196.75,198,146
ZC=F,Corn,25-04-2001,194.5,195,194.5,194.5,67
ZC=F,Corn,26-04-2001,195.75,197,195.75,197,47
ZC=F,Corn,27-04-2001,199.25,199.25,198.25,198.25,102
ZC=F,Corn,30-04-2001,196,196,195,195,127
ZC=F,Corn,01-05-2001,199,199.5,199,199.25,30
ZC=F,Corn,02-05-2001,199.5,199.75,199.5,199.5,30
ZC=F,Corn,03-05-2001,199.5,199.5,199.5,200.75,30
ZC=F,Corn,04-05-2001,200.5,200.5,200.5,200.5,4
ZC=F,Corn,07-05-2001,204,204,202.5,204,4
ZC=F,Corn,08-05-2001,204,204,204,200.75,3
ZC=F,Corn,09-05-2001,197,197.25,197,197,3
ZC=F,Corn,10-05-2001,197,197,197,197.75,3
ZC=F,Corn,11-05-2001,191.5,191.5,191.5,191.5,3
